id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
852934,Peaceful Artist Oasis 2BR easy access Downtown,4452973,Vivian & Tom,,Goldsmith,39.6735,-104.92938,Entire home/apt,80,1,291,2021-12-24,2.77,1,361,40,
915016,Cozy Capitol Hill Accommodation,4911774,Tim And Cindy,,Capitol Hill,39.73572,-104.97783,Entire home/apt,100,14,321,2021-12-27,3.08,1,272,17,2020-BFN-0000493
921485,Stylish & Historic LoHi Loft w/ Views and Parking,3378084,Alexandra,,Highland,39.75838,-105.01479,Entire home/apt,129,29,65,2021-10-01,0.61,2,214,6,
953052,Congress Park Cottage,5173501,Steve,,Congress Park,39.7325,-104.94919,Entire home/apt,90,30,2,2018-09-16,0.03,1,365,0,
958612,DENVER  2BD/2BA SUITE MOUNTAIN VIEW GREAT LOCATION,5216325,Julia,,CBD,39.74646,-104.99688,Entire home/apt,125,30,11,2019-08-02,0.12,6,242,0,
1004131,Stapleton Carriage House,4745285,Sean,,Stapleton,39.75994,-104.87012,Entire home/apt,125,21,27,2021-12-25,0.27,1,0,4,2017-BFN-0000476
1041934,"Private apt in Berkeley, MTN Views!",5811115,Annette,,Berkeley,39.78027,-105.03808,Entire home/apt,166,30,29,2021-03-29,0.28,5,322,1,
1042331,Beautiful Apt in Berkeley/Highlands,5811115,Annette,,Berkeley,39.77983,-105.03936,Entire home/apt,145,30,42,2021-12-01,0.40,5,287,3,
1069351,Historic Denver Bungalow- 30+ day rentals only,3577356,Bonnie,,Sunnyside,39.77389,-105.0106,Entire home/apt,100,30,5,2018-11-17,0.05,1,182,0,
1074386,1BR/1BA Santa Fe Arts District Home,5910663,Tony,,Lincoln Park,39.72599,-104.99628,Entire home/apt,252,1,83,2021-12-07,0.81,3,264,35,2020-BFN-0001729
1082572,Baker Flat/Private Yard & Parking-30+ Dogs OK. 5G.,879998,Jennifer,,Baker,39.71466,-104.99192,Entire home/apt,170,30,43,2020-10-27,0.43,4,56,0,
1143676,Modern Sizzle-New-Across from City Park-! Superb!,4366942,Nan,,City Park,39.74751,-104.95953,Entire home/apt,120,30,41,2020-12-19,0.39,3,355,0,
1220547,Sunny Southwest Exposure! Brooks Tower One-Bed 5A,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,56,30,3,2021-08-31,0.03,13,181,2,
1223593,Sweet and sunny in Capitol Hill,6674631,Cynthia,,Cheesman Park,39.73704,-104.96965,Private room,68,29,157,2021-11-30,1.56,3,222,4,
1223612,Suite of rooms in Capitol Hill,6674631,Cynthia,,Cheesman Park,39.73165,-104.97057,Private room,58,29,182,2021-12-17,1.75,3,305,6,
1236000,Sunny studio! Brooks Tower 5B,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,58,30,12,2021-08-02,0.12,13,181,2,
1240215,Fully furnished downtown apt! Brooks Tower 5G,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,53,30,6,2020-11-03,0.06,13,0,0,
1291679,Sunny Balcony! Downtown 2x2 Brooks Tower 5C,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,98,30,5,2021-07-10,0.05,13,181,1,
1311993,Downtown Apt - Clean & Convenient! Brooks Tower 5I,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,58,30,10,2021-09-27,0.10,13,181,1,
1313699,"Platt Park Urban Getaway: entire house, families!",7138728,Ann,,Platt Park,39.68332,-104.97382,Entire home/apt,218,4,18,2016-08-07,0.17,1,0,0,2021-BFN-0003953
1315853,Downtown One-Bed Apt w/Balcony! Brooks Tower 4G,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,78,30,5,2021-08-25,0.06,13,0,4,
1327856,Two-Story Open Condo with GREAT Outdoor Rooftop!,7206373,Leila And Alex,,Capitol Hill,39.73484,-104.98193,Entire home/apt,125,2,161,2021-12-23,1.59,1,10,16,2016-BFN-0007176
1339519,Spacious One Bedroom w/Balcony: Brooks Tower 4A,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,56,30,7,2021-10-01,0.07,13,181,3,
1397309,Private balcony! Brooks Tower 6A,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,78,30,5,2016-12-14,0.05,13,181,0,
1402409,Spacious 1928 Bungalow near Sloan's Lake.,1382900,Pamela,,West Colfax,39.73995,-105.04053,Entire home/apt,245,3,119,2021-12-20,1.19,1,121,16,2021-BFN-0000150
1454673,2 Bdrm Suite in Victorian (Denver Botanic Gardens),4150751,Pamela,,Congress Park,39.73424,-104.95933,Private room,102,29,133,2020-09-08,1.63,3,0,0,2020-BFN-0002436
1529804,Bright & Cosy Studio Near Shops and Restaurants,8157870,Rachel,,Berkeley,39.77863,-105.02618,Entire home/apt,66,1,270,2021-12-27,4.31,1,85,117,2017-BFN-0002746
1581384,West Highlands Sweet Retreat!,8410190,Deanna,,West Highland,39.76779,-105.05005,Entire home/apt,128,30,74,2021-11-09,0.75,7,236,4,2019-BFN-0000709
1583103,W. Wash Park Artist Bungalow,8428229,Christina,,Speer,39.72088,-104.98371,Entire home/apt,108,29,30,2021-11-29,0.75,3,88,7,347183-070055
1594161,Newly Renovated Apartment-Perfect for Families!,4756064,Brian And Tarryn,,West Colfax,39.73723,-105.04561,Entire home/apt,88,3,201,2021-10-18,2.27,1,91,7,2019-BFN-0000132
1637744,Park Hill Denver: Shady Retreat,8697449,Jennifer,,South Park Hill,39.74446,-104.91113,Private room,60,31,39,2021-11-19,0.49,1,265,2,2020-BFN-0001321
1641476,Charming 1890's Victorian Cottage by Sloan's Lake,8714815,Allison,,Sloan Lake,39.75459,-105.04991,Entire home/apt,206,3,34,2021-12-28,0.66,1,146,2,2021-BFN-0000429
1733052,Beautiful Private Basement Suite near Downtown,2416216,Jason,,Cheesman Park,39.73799,-104.97219,Private room,101,1,1174,2021-12-23,11.73,1,279,166,2016-BFN-0008749
1737365,Stylish & Historic LoHi Loft on Wyandot,3378084,Alexandra,,Highland,39.75901,-105.01541,Entire home/apt,130,29,68,2021-10-29,0.70,2,274,1,
1785877,Cozy and Convenient in Capitol Hill,6674631,Cynthia,,Cheesman Park,39.7388,-104.96965,Private room,56,29,169,2021-09-30,1.70,3,305,5,
1792152,Peaceful Retreat in Congress Park,9402581,Rita,,Congress Park,39.73377,-104.94866,Private room,78,29,253,2021-11-30,2.65,2,348,5,
1801950,Best Location HUGE 1 bedroom loft,9447036,Zach,,CBD,39.74569,-104.99202,Entire home/apt,227,2,268,2021-12-28,3.06,2,154,40,2019-BFN-0011107
1901266,PrivateBdrmShareBath*LadiesOnly*Walk DU&PorterHos,9869829,Barbara,,University,39.66641,-104.96614,Private room,24,7,94,2021-11-07,0.99,1,122,6,2016-BFN-0007416
1905596,"Charming, cozy, private hideaway",5811115,Annette,,Berkeley,39.77954,-105.03991,Entire home/apt,110,30,70,2021-11-20,0.72,5,232,2,
1915301,Modern 4 Story LoHi Home | Panoramic Rooftop Views,9933778,Kelvin,,Highland,39.76823,-105.00989,Entire home/apt,845,1,32,2021-11-28,1.23,1,142,21,2019-BFN-0009664
1955800,High-Rise Condo in Heart of Denver,10109001,Joey,,CBD,39.74578,-104.99603,Entire home/apt,200,29,15,2018-08-31,0.15,1,177,0,
1959836,Artist Cottage in Denver,10033473,Anne,,Clayton,39.76476,-104.95804,Private room,39,30,297,2019-11-04,3.03,1,87,0,2016 BFN 0008262
1966103,Wash Park/DU • 10 Mins Downtown • Family Friendly,9597571,Jon & Irene,,Platt Park,39.67937,-104.97808,Entire home/apt,150,29,8,2020-07-21,0.12,2,71,0,
2061222,Sunny private house&driveway,5124037,Darja,,Montclair,39.74008,-104.91957,Entire home/apt,139,29,34,2018-01-01,0.37,2,85,0,2017-BFN-0000201
2104774,"HOT! Best Location.  Cozy, quiet. CLOROX CLEAN!",4087056,Jeanne,,City Park West,39.74245,-104.9681,Entire home/apt,65,30,49,2021-10-12,0.61,6,336,4,
